hydrogel_tau_s,final_leak_conductance_ratio,leak_reduction_pct,flow_retention_pct,isolation_time_s,expected_sensor_effect_sigma,passes_falsification_gate
45.0,0.005,98.31181291473663,99.34315070088367,129.04382705688477,175.8828018401268,True
45.0,0.019047619047619046,93.77913168247434,97.57954966607016,139.71843719482422,175.8828018401268,True
45.0,0.033095238095238094,89.53133319314813,95.92679240660678,154.21756744384766,175.8828018401268,True
45.0,0.04714285714285714,85.54237807278797,94.37474737683077,176.5609359741211,175.8828018401268,True
45.0,0.061190476190476184,81.789306581994,92.91448127256962,225.41265487670898,175.8828018401268,True
45.0,0.07523809523809524,78.25179641140123,91.53808697572055,,175.8828018401268,False
45.0,0.08928571428571429,74.91179454539909,90.23854031772174,,175.8828018401268,False
45.0,0.10333333333333333,71.75320911321649,89.00958018324438,,175.8828018401268,False
45.0,0.11738095238095238,68.76165012488151,87.84560763428577,,175.8828018401268,False
45.0,0.13142857142857142,65.92421027747675,86.74160062503785,,175.8828018401268,False
45.0,0.14547619047619048,63.22927878793523,85.69304156690734,,175.8828018401268,False
45.0,0.1595238095238095,60.666382589026256,84.69585554015919,,175.8828018401268,False
45.0,0.17357142857142857,58.226050308521884,83.74635737016807,,175.8828018401268,False
45.0,0.1876190476190476,55.89969530718333,82.8412061191818,,175.8828018401268,False
45.0,0.20166666666666666,53.67951473112331,81.97736580904862,,175.8828018401268,False
45.0,0.2157142857142857,51.55840207749194,81.15207140178379,,175.8828018401268,False
45.0,0.22976190476190475,49.52987120909451,80.36279923475094,,175.8828018401268,False
45.0,0.2438095238095238,47.58799010627652,79.6072412444739,,175.8828018401268,False
45.0,0.25785714285714284,45.72732293075333,78.88328242450669,,175.8828018401268,False
45.0,0.27190476190476187,43.94287920962011,78.18898105366303,,175.8828018401268,False
45.0,0.28595238095238096,42.230069139142316,77.52255130536457,,175.8828018401268,False
45.0,0.3,40.58466416540535,76.88234791013898,,175.8828018401268,False
65.71428571428572,0.005,98.27364038339319,99.32829831830277,186.143798828125,175.8828018401268,True
65.71428571428572,0.019047619047619046,93.74390006422445,97.56584155044946,201.7301368713379,175.8828018401268,True
65.71428571428572,0.033095238095238094,89.4987540517862,95.91411633156973,222.90231704711914,175.8828018401268,True
65.71428571428572,0.04714285714285714,85.5121985137356,94.36300494473645,255.53443908691406,175.8828018401268,True
65.71428571428572,0.061190476190476184,81.76130399589961,92.90358586932307,326.8702507019043,175.8828018401268,True
65.71428571428572,0.07523809523809524,78.22577411930818,91.52796207637029,,175.8828018401268,False
65.71428571428572,0.08928571428571429,74.88757817057649,90.22911807479133,,175.8828018401268,False
65.71428571428572,0.10333333333333333,71.730643542416,89.00080024440123,,175.8828018401268,False
65.71428571428572,0.11738095238095238,68.74059695057457,87.8374161471524,,175.8828018401268,False
65.71428571428572,0.13142857142857142,65.90454563480421,86.73394939558015,,175.8828018401268,False
65.71428571428572,0.14547619047619048,63.210891517310074,85.68588734452983,,175.8828018401268,False
65.71428571428572,0.1595238095238095,60.649172668775606,84.68915940786844,,175.8828018401268,False
65.71428571428572,0.17357142857142857,58.209927512528395,83.74008422228026,,175.8828018401268,False
65.71428571428572,0.1876190476190476,55.884578050854095,82.83532421230599,,175.8828018401268,False
65.71428571428572,0.20166666666666666,53.66532907567556,81.97184637466856,,175.8828018401268,False
65.71428571428572,0.2157142857142857,51.54508086787612,81.14688831083618,,175.8828018401268,False
65.71428571428572,0.22976190476190475,49.51735332516732,80.35792870626757,,175.8828018401268,False
65.71428571428572,0.2438095238095238,47.57621981030579,79.6026615917054,,175.8828018401268,False
65.71428571428572,0.25785714285714284,45.71624929715898,78.87897383304275,,175.8828018401268,False
65.71428571428572,0.27190476190476187,43.93245562515755,78.184925386961,,175.8828018401268,False
65.71428571428572,0.28595238095238096,42.220252863624864,77.51873193383297,,175.8828018401268,False
65.71428571428572,0.3,40.575415944616935,76.87874956052713,,175.8828018401268,False
86.42857142857143,0.005,97.97354026636373,99.21153368169571,243.24377059936523,175.8828018401268,True
86.42857142857143,0.019047619047619046,93.4668895317423,97.45806073889304,263.74183654785156,175.8828018401268,True
86.42857142857143,0.033095238095238094,89.24257195948616,95.814439566333,291.5893363952637,175.8828018401268,True
86.42857142857143,0.04714285714285714,85.27486192104053,94.27066069217865,334.505672454834,175.8828018401268,True
86.42857142857143,0.061190476190476184,81.54106708185202,92.81789485563479,428.33011627197266,175.8828018401268,True
86.42857142857143,0.07523809523809524,78.02109413496461,91.44832404014026,,175.8828018401268,False
86.42857142857143,0.08928571428571429,74.69708706477236,90.15500072699994,,175.8828018401268,False
86.42857142857143,0.10333333333333333,71.55312419089255,88.93173001951578,,175.8828018401268,False
86.42857142857143,0.11738095238095238,68.57496314264206,87.77297041622595,,175.8828018401268,False
86.42857142857143,0.13142857142857142,65.74982514446705,86.67374987946968,,175.8828018401268,False
86.42857142857143,0.14547619047619048,63.06621171987325,85.6295945175249,,175.8828018401268,False
86.42857142857143,0.1595238095238095,60.513748268758924,84.63646772279947,,175.8828018401268,False
86.42857142857143,0.17357142857142857,58.083050031167595,83.69071802025623,,175.8828018401268,False
86.42857142857143,0.1876190476190476,55.76560678673659,82.78903420562798,,175.8828018401268,False
86.42857142857143,0.20166666666666666,53.553683304028674,81.92840661168509,,175.8828018401268,False
86.42857142857143,0.2157142857142857,51.440233085639065,81.10609354769794,,175.8828018401268,False
86.42857142857143,0.22976190476190475,49.418823382474685,80.3195921235721,,175.8828018401268,False
86.42857142857143,0.2438095238095238,47.48356979611209,79.56661280456714,,175.8828018401268,False
86.42857142857143,0.25785714285714284,45.62907906876562,78.8450571516963,,175.8828018401268,False
86.42857142857143,0.27190476190476187,43.850398889398015,78.15299829200691,,175.8828018401268,False
86.42857142857143,0.28595238095238096,42.14297373222541,77.4886637359779,,175.8828018401268,False
86.42857142857143,0.3,40.502605898410984,76.85042021940347,,175.8828018401268,False
107.14285714285714,0.005,97.0384881010095,98.8477183410788,300.3414726257324,175.8828018401268,True
107.14285714285714,0.019047619047619046,92.60342793640632,97.1221002587654,325.75353622436523,175.8828018401268,True
107.14285714285714,0.033095238095238094,88.44372879887857,95.5036211891938,360.2763557434082,175.8828018401268,True
107.14285714285714,0.04714285714285714,84.53451817741953,93.98260359628705,413.4769058227539,175.8828018401268,True
107.14285714285714,0.061190476190476184,80.85383154733535,92.55050139959214,529.789981842041,175.8828018401268,True
107.14285714285714,0.07523809523809524,77.38219945290837,91.19973931408643,,175.8828018401268,False
107.14285714285714,0.08928571428571429,74.10230300540827,89.92357880941204,,175.8828018401268,False
107.14285714285714,0.10333333333333333,70.99868492698707,88.71600568121352,,175.8828018401268,False
107.14285714285714,0.11738095238095238,68.05750596527331,87.57163527556267,,175.8828018401268,False
107.14285714285714,0.13142857142857142,65.26633857937827,86.48563221515215,,175.8828018401268,False
107.14285714285714,0.14547619047619048,62.613991409315226,85.45364210287306,,175.8828018401268,False
107.14285714285714,0.1595238095238095,60.090359300251684,84.4717331684096,,175.8828018401268,False
107.14285714285714,0.17357142857142857,57.686294643915325,83.5363462090321,,175.8828018401268,False
107.14285714285714,0.1876190476190476,55.393496584000566,82.6442514810148,,175.8828018401268,False
107.14285714285714,0.20166666666666666,53.20441525724695,81.79251144121797,,175.8828018401268,False
107.14285714285714,0.2157142857142857,51.11216874231024,80.97844843308852,,175.8828018401268,False
107.14285714285714,0.22976190476190475,49.11047079153173,80.19961656813183,,175.8828018401268,False
107.14285714285714,0.2438095238095238,47.19356774687748,79.45377718081139,,175.8828018401268,False
107.14285714285714,0.25785714285714284,45.35618330659715,78.73887733805076,,175.8828018401268,False
107.14285714285714,0.27190476190476187,43.59347002591956,78.05303096885193,,175.8828018401268,False
107.14285714285714,0.28595238095238096,41.90096661301169,77.39450224876813,,175.8828018401268,False
107.14285714285714,0.3,40.27456022807784,76.76169093102517,,175.8828018401268,False
127.85714285714286,0.005,95.22111975981933,98.14060647440985,357.44144439697266,175.8828018401268,True
127.85714285714286,0.019047619047619046,90.92367711482142,96.4685333884348,387.76750564575195,175.8828018401268,True
127.85714285714286,0.033095238095238094,86.88835895892643,94.89844916877175,428.96337509155273,175.8828018401268,True
127.85714285714286,0.04714285714285714,83.09189245530756,93.42129868954525,492.4504089355469,175.8828018401268,True
127.85714285714286,0.061190476190476184,79.5136806266149,92.02906796329265,,175.8828018401268,False
127.85714285714286,0.07523809523809524,76.13542852012215,90.71463868720218,,175.8828018401268,False
127.85714285714286,0.08928571428571429,72.94083034189265,89.47166651151996,,175.8828018401268,False
127.85714285714286,0.10333333333333333,69.91530626621633,88.29447863588973,,175.8828018401268,False
127.85714285714286,0.11738095238095238,67.04577995581825,87.1779872456675,,175.8828018401268,False
127.85714285714286,0.13142857142857142,64.32048963073154,86.1176160015394,,175.8828018401268,False
127.85714285714286,0.14547619047619048,61.72882692843062,85.10923734231831,,175.8828018401268,False
127.85714285714286,0.1595238095238095,59.26119889999678,84.14911878963802,,175.8828018401268,False
127.85714285714286,0.17357142857142857,56.90890935744169,83.23387678190466,,175.8828018401268,False
127.85714285714286,0.1876190476190476,54.66405647878448,82.36043683390551,,175.8828018401268,False
127.85714285714286,0.20166666666666666,52.519444130002626,81.52599903345651,,175.8828018401268,False
127.85714285714286,0.2157142857142857,50.46850480690257,80.72800805919297,,175.8828018401268,False
127.85714285714286,0.22976190476190475,48.50523245849173,79.96412704311061,,175.8828018401268,False
127.85714285714286,0.2438095238095238,46.6241237444464,79.2322147146914,,175.8828018401268,False
