time_s,Qin_m3_s,Qout_m3_s,Qleak_m3_s,P_damage_Pa,sensor_voltage_V,sensor_deltaP_Pa,leak_conductance_m3_Pa_s,hydrogel_swelling_fraction
16,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047470247129769756,224.35565240299206,0.0,0.0
17,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004765715326131861,224.35565240299206,0.0,0.0
18,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047902890348462397,224.35565240299206,0.0,0.0
19,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004771592046478888,224.35565240299206,0.0,0.0
20,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047642320114641204,224.35565240299206,0.0,0.0
21,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004759858230256262,224.35565240299206,0.0,0.0
22,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004784957819538371,224.35565240299206,0.0,0.0
23,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004787461517982855,224.35565240299206,0.0,0.0
24,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047613223663826095,224.35565240299206,0.0,0.0
25,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004774649049377147,224.35565240299206,0.0,0.0
26,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047606039448049465,224.35565240299206,0.0,0.0
27,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004750123666589984,224.35565240299206,0.0,0.0
28,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000479828980436657,224.35565240299206,0.0,0.0
29,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004760226294709199,224.35565240299206,0.0,0.0
30,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047408211176888366,224.35565240299206,0.0,0.0
31,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047712645939269606,224.35565240299206,0.0,0.0
32,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047815303487043026,224.35565240299206,0.0,0.0
33,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047502691804959595,224.35565240299206,0.0,0.0
34,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004760245126715388,224.35565240299206,0.0,0.0
35,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004747396395624,224.35565240299206,0.0,0.0
36,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004772218371240577,224.35565240299206,0.0,0.0
37,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004794950422513995,224.35565240299206,0.0,0.0
38,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004767514272333776,224.35565240299206,0.0,0.0
39,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004774230620099776,224.35565240299206,0.0,0.0
40,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047498075805985996,224.35565240299206,0.0,0.0
41,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004761441400072008,224.35565240299206,0.0,0.0
42,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004797931041688253,224.35565240299206,0.0,0.0
43,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004789217318641615,224.35565240299206,0.0,0.0
44,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004747638276307806,224.35565240299206,0.0,0.0
45,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047517187566911944,224.35565240299206,0.0,0.0
46,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004778118924357721,224.35565240299206,0.0,0.0
47,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004765335032970897,224.35565240299206,0.0,0.0
48,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047564025859640275,224.35565240299206,0.0,0.0
49,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047559459703226057,224.35565240299206,0.0,0.0
50,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004747789213117264,224.35565240299206,0.0,0.0
51,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000476018434449512,224.35565240299206,0.0,0.0
52,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004767210623818921,224.35565240299206,0.0,0.0
